,teff,logg,m_h,vmicro,wavelength,flux
12,3250,4.0,-0.5,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99995245 0.99995244 0.99995242 ... 1.         1.         1.        ]
13,3250,4.0,-0.25,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99992287 0.99992285 0.99992283 ... 1.         1.         1.        ]
14,3250,4.0,0.0,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99990262 0.9999026  0.99990257 ... 0.99998869 0.99998869 0.9999887 ]
15,3250,4.2,-0.5,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99993626 0.99993625 0.99993623 ... 1.         1.         1.        ]
16,3250,4.2,-0.25,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99989642 0.9998964  0.99989637 ... 0.99998814 0.99998814 0.99998815]
17,3250,4.2,0.0,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99987382 0.99987379 0.99987376 ... 0.99997817 0.99997817 0.99997818]
18,3250,4.4,-0.5,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99987185 0.99987182 0.99987178 ... 1.         1.         1.        ]
19,3250,4.4,-0.25,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.9998575  0.99985746 0.99985742 ... 0.99998382 0.99998383 0.99998383]
20,3250,4.4,0.0,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.9998321  0.99983205 0.99983201 ... 0.99997131 0.99997132 0.99997132]
21,3250,4.6,-0.5,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99982902 0.99982898 0.99982893 ... 1.         1.         1.        ]
22,3250,4.6,-0.25,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99980779 0.99980774 0.99980769 ... 0.99997832 0.99997833 0.99997833]
23,3250,4.6,0.0,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99978037 0.99978032 0.99978026 ... 0.99996289 0.9999629  0.99996291]
24,3500,4.0,-0.5,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
25,3500,4.0,-0.25,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
26,3500,4.0,0.0,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999999 0.99999999 0.99999999 ... 1.         1.         1.        ]
27,3500,4.2,-0.5,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
28,3500,4.2,-0.25,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
29,3500,4.2,0.0,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
30,3500,4.4,-0.5,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
31,3500,4.4,-0.25,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
32,3500,4.4,0.0,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
33,3500,4.6,-0.5,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
34,3500,4.6,-0.25,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
35,3500,4.6,0.0,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[1. 1. 1. ... 1. 1. 1.]
36,3750,4.0,-0.5,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999996 0.99999996 0.99999996 ... 1.         1.         1.        ]
37,3750,4.0,-0.25,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999989 0.99999989 0.99999989 ... 1.         1.         1.        ]
38,3750,4.0,0.0,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999967 0.99999967 0.99999966 ... 1.         1.         1.        ]
39,3750,4.2,-0.5,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999998 0.99999998 0.99999998 ... 1.         1.         1.        ]
40,3750,4.2,-0.25,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999995 0.99999995 0.99999995 ... 1.         1.         1.        ]
41,3750,4.2,0.0,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999987 0.99999987 0.99999986 ... 1.         1.         1.        ]
42,3750,4.4,-0.5,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999998 0.99999998 0.99999998 ... 1.         1.         1.        ]
43,3750,4.4,-0.25,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999998 0.99999998 0.99999998 ... 1.         1.         1.        ]
44,3750,4.4,0.0,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999995 0.99999995 0.99999995 ... 1.         1.         1.        ]
45,3750,4.6,-0.5,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999999 0.99999999 0.99999999 ... 1.         1.         1.        ]
46,3750,4.6,-0.25,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999998 0.99999998 0.99999998 ... 1.         1.         1.        ]
47,3750,4.6,0.0,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999998 0.99999998 0.99999998 ... 1.         1.         1.        ]
48,4000,4.0,-0.5,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.9999984 0.9999984 0.9999984 ... 1.        1.        1.       ]
49,4000,4.0,-0.25,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999787 0.99999787 0.99999786 ... 1.         1.         1.        ]
50,4000,4.0,0.0,1.529,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999757 0.99999756 0.99999756 ... 1.         1.         1.        ]
51,4000,4.2,-0.5,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999905 0.99999905 0.99999905 ... 1.         1.         1.        ]
52,4000,4.2,-0.25,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999851 0.99999851 0.9999985  ... 1.         1.         1.        ]
53,4000,4.2,0.0,1.613,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999789 0.99999788 0.99999788 ... 1.         1.         1.        ]
54,4000,4.4,-0.5,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999954 0.99999954 0.99999954 ... 1.         1.         1.        ]
55,4000,4.4,-0.25,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999916 0.99999916 0.99999916 ... 1.         1.         1.        ]
56,4000,4.4,0.0,1.709,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999848 0.99999848 0.99999847 ... 1.         1.         1.        ]
57,4000,4.6,-0.5,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999977 0.99999977 0.99999977 ... 1.         1.         1.        ]
58,4000,4.6,-0.25,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999959 0.99999959 0.99999959 ... 1.         1.         1.        ]
59,4000,4.6,0.0,1.818,[4.7130e-05 4.7132e-05 4.7134e-05 ... 7.8866e-05 7.8868e-05 7.8870e-05],[0.99999916 0.99999916 0.99999915 ... 1.         1.         1.        ]
